scenario,feature_1,group_1,feature_2,group_2,pearson_r,absolute_r,pairwise_n,same_group,correlation_direction,threshold_exceeded
PF,N_PFlossR_2ktw,accessibility_loss,N_PFlossR_2kmw,accessibility_loss,0.8710491690429611,0.8710491690429611,3709,True,positive,True
PF,PFAB2k_NOR,centrality_influence,PFAB5k_NOR,centrality_influence,0.7697055929272179,0.7697055929272179,4037,True,positive,True
PF,Per_extent,flood_exposure,N_PFlossR_2ktw,accessibility_loss,0.7278331059665535,0.7278331059665535,4082,False,positive,True
PF,PFResident_lossR,population_loss,PFPRM_lossR,population_loss,0.709139915968324,0.709139915968324,2181,True,positive,True
PF,Per_extent,flood_exposure,N_PFlossR_2kmw,accessibility_loss,0.6775328157359923,0.6775328157359923,3709,False,positive,True
PF,PFDaynight_lossR,population_loss,PFPRM_lossR,population_loss,0.6613942089052545,0.6613942089052545,2257,True,positive,True
PF,Per_extent,flood_exposure,N_PFlossR_2kiw,accessibility_loss,0.619045790686213,0.619045790686213,2758,False,positive,True
PF,Per_extent,flood_exposure,PFDaynight_lossR,population_loss,-0.5973175813548915,0.5973175813548915,2731,False,negative,False
PF,N_PFlossR_2kiw,accessibility_loss,N_PFlossR_2kmw,accessibility_loss,0.5696250960486275,0.5696250960486275,2758,True,positive,False
PF,N_PFlossR_2kiw,accessibility_loss,N_PFlossR_2ktw,accessibility_loss,0.5599933907538446,0.5599933907538446,2758,True,positive,False
PF,PFResident_lossR,population_loss,PFDaynight_lossR,population_loss,0.5535094702543775,0.5535094702543775,2401,True,positive,False
PF,Per_extent,flood_exposure,PFPRM_lossR,population_loss,-0.49169523054052133,0.49169523054052133,2259,False,negative,False
PF,Per_extent,flood_exposure,PFResident_lossR,population_loss,-0.48112150252792646,0.48112150252792646,2467,False,negative,False
PF,PFDaynight_lossR,population_loss,PFAB2k_NOR,centrality_influence,-0.4420524060478028,0.4420524060478028,2690,False,negative,False
PF,PFAB2k_NOR,centrality_influence,PFABC_NOR,centrality_influence,-0.4357070877695322,0.4357070877695322,3874,True,negative,False
PF,N_PFlossR_2kmw,accessibility_loss,PFPRM_lossR,population_loss,-0.4294823155481651,0.4294823155481651,2245,False,negative,False
PF,N_PFlossR_2kmw,accessibility_loss,PFDaynight_lossR,population_loss,-0.4270838979494729,0.4270838979494729,2662,False,negative,False
PF,N_PFlossR_2kiw,accessibility_loss,PFAB2k_NOR,centrality_influence,0.4264692676566933,0.4264692676566933,2720,False,positive,False
PF,N_PFlossR_2kiw,accessibility_loss,PFPRM_lossR,population_loss,-0.3984377615146624,0.3984377615146624,2135,False,negative,False
PF,N_PFlossR_2kiw,accessibility_loss,PFDaynight_lossR,population_loss,-0.3913237340964686,0.3913237340964686,2495,False,negative,False
PF,N_PFlossR_2ktw,accessibility_loss,PFPRM_lossR,population_loss,-0.39131350195572084,0.39131350195572084,2248,False,negative,False
PF,PFResident_lossR,population_loss,PFAB2k_NOR,centrality_influence,-0.3822808732165141,0.3822808732165141,2431,False,negative,False
PF,N_PFlossR_2kiw,accessibility_loss,PFAB5k_NOR,centrality_influence,0.37650258018242666,0.37650258018242666,2720,False,positive,False
PF,PFAB5k_NOR,centrality_influence,PFABC_NOR,centrality_influence,-0.3706331406256764,0.3706331406256764,3874,True,negative,False
PF,N_PFlossR_2ktw,accessibility_loss,PFDaynight_lossR,population_loss,-0.36778279076112,0.36778279076112,2717,False,negative,False
PF,PFDaynight_lossR,population_loss,PFAB5k_NOR,centrality_influence,-0.34440267917412676,0.34440267917412676,2690,False,negative,False
PF,N_PFlossR_2ktw,accessibility_loss,PFABC_NOR,centrality_influence,0.3022695712073543,0.3022695712073543,3915,False,positive,False
PF,N_PFlossR_2kiw,accessibility_loss,PFResident_lossR,population_loss,-0.3004210880331294,0.3004210880331294,2248,False,negative,False
PF,PFPRM_lossR,population_loss,PFAB2k_NOR,centrality_influence,-0.29876981971065497,0.29876981971065497,2232,False,negative,False
PF,PFResident_lossR,population_loss,PFAB5k_NOR,centrality_influence,-0.2895668115694845,0.2895668115694845,2431,False,negative,False
PF,Per_extent,flood_exposure,PFAB2k_NOR,centrality_influence,0.23393028114567102,0.23393028114567102,4037,False,positive,False
PF,PFPRM_lossR,population_loss,PFAB5k_NOR,centrality_influence,-0.22354359443391222,0.22354359443391222,2232,False,negative,False
PF,N_PFlossR_2kmw,accessibility_loss,PFResident_lossR,population_loss,-0.20760221470967996,0.20760221470967996,2423,False,negative,False
PF,N_PFlossR_2ktw,accessibility_loss,PFResident_lossR,population_loss,-0.1964141867481174,0.1964141867481174,2452,False,negative,False
PF,Per_extent,flood_exposure,PFAB5k_NOR,centrality_influence,0.1668681173300626,0.1668681173300626,4037,False,positive,False
PF,N_PFlossR_2kiw,accessibility_loss,PFABC_NOR,centrality_influence,-0.16386623450725912,0.16386623450725912,2671,False,negative,False
PF,N_PFlossR_2ktw,accessibility_loss,PFAB5k_NOR,centrality_influence,-0.14383822587852058,0.14383822587852058,4019,False,negative,False
PF,PFDaynight_lossR,population_loss,PFABC_NOR,centrality_influence,0.14167248572394578,0.14167248572394578,2632,False,positive,False
PF,N_PFlossR_2kmw,accessibility_loss,PFAB2k_NOR,centrality_influence,0.13714987937076448,0.13714987937076448,3646,False,positive,False
PF,N_PFlossR_2kmw,accessibility_loss,PFABC_NOR,centrality_influence,0.10690192993574345,0.10690192993574345,3555,False,positive,False
PF,N_PFlossR_2ktw,accessibility_loss,PFAB2k_NOR,centrality_influence,-0.10512324411887927,0.10512324411887927,4019,False,negative,False
PF,Per_extent,flood_exposure,PFABC_NOR,centrality_influence,0.08146781601582966,0.08146781601582966,3925,False,positive,False
PF,PFResident_lossR,population_loss,PFABC_NOR,centrality_influence,0.05612742227446861,0.05612742227446861,2378,False,positive,False
PF,PFPRM_lossR,population_loss,PFABC_NOR,centrality_influence,-0.026271164869410456,0.026271164869410456,2191,False,negative,False
PF,N_PFlossR_2kmw,accessibility_loss,PFAB5k_NOR,centrality_influence,0.011254451880524482,0.011254451880524482,3646,False,positive,False
